[1, 1, 0, 0, 0, 0, 0; 1]
[1, 1, 1, 0, 0, 0, 0; 2]
[4, 4, 1, 1, 1, 1, 1; 5]
[4, 4, 4, 1, 1, 1, 1; 8]
[5, 4, 1, 1, 1, 1, 1; 5]
[5, 5, 1, 1, 1, 1, 1; 6]
[5, 5, 4, 1, 1, 1, 1; 9]
[5, 5, 1, 1, 1, 1, 1; 5]
[6, 5, 1, 1, 1, 1, 1; 6]
[6, 5, 5, 1, 1, 1, 1; 10]
[3, 3, 1, 1, 1, 1, 0; 4]
[3, 3, 3, 1, 1, 1, 0; 6]
[3, 3, 3, 1, 1, 1, 1; 7]
[7, 6, 2, 2, 2, 2, 1; 8]
[7, 7, 2, 2, 2, 2, 1; 9]
[7, 7, 6, 2, 2, 2, 1; 13]
[7, 7, 6, 2, 2, 2, 2; 14]
[4, 3, 1, 1, 1, 1, 0; 4]
[4, 4, 1, 1, 1, 1, 0; 5]
[4, 4, 3, 1, 1, 1, 0; 7]
[4, 4, 3, 1, 1, 1, 1; 8]
[7, 7, 2, 2, 2, 2, 1; 8]
[8, 7, 2, 2, 2, 2, 1; 9]
[8, 7, 7, 2, 2, 2, 1; 14]
[8, 7, 7, 2, 2, 2, 2; 15]
[8, 7, 2, 2, 2, 2, 1; 8]
[9, 7, 2, 2, 2, 2, 1; 9]
[9, 8, 2, 2, 2, 2, 1; 10]
[9, 8, 7, 2, 2, 2, 1; 15]
[9, 8, 7, 2, 2, 2, 2; 16]
[4, 4, 1, 1, 1, 1, 0; 4]
[5, 4, 1, 1, 1, 1, 0; 5]
[5, 4, 4, 1, 1, 1, 0; 8]
[5, 4, 4, 1, 1, 1, 1; 9]
[5, 5, 2, 2, 2, 1, 1; 7]
[5, 5, 5, 2, 2, 1, 1; 10]
[5, 5, 5, 2, 2, 2, 1; 11]
[8, 7, 3, 3, 3, 2, 1; 10]
[8, 8, 3, 3, 3, 2, 1; 11]
[8, 8, 7, 3, 3, 2, 1; 15]
[8, 8, 7, 3, 3, 3, 1; 16]
[8, 8, 7, 3, 3, 3, 2; 17]
[6, 5, 2, 2, 2, 1, 1; 7]
[6, 6, 2, 2, 2, 1, 1; 8]
[6, 6, 5, 2, 2, 1, 1; 11]
[6, 6, 5, 2, 2, 2, 1; 12]
[7, 5, 2, 2, 2, 1, 1; 7]
[7, 7, 2, 2, 2, 1, 1; 9]
[7, 7, 5, 2, 2, 1, 1; 12]
[7, 7, 5, 2, 2, 2, 1; 13]
[8, 8, 3, 3, 3, 2, 1; 10]
[9, 8, 3, 3, 3, 2, 1; 11]
[9, 8, 8, 3, 3, 2, 1; 16]
[9, 8, 8, 3, 3, 3, 1; 17]
[9, 8, 8, 3, 3, 3, 2; 18]
[9, 8, 3, 3, 3, 2, 1; 10]
[10, 8, 3, 3, 3, 2, 1; 11]
[10, 9, 3, 3, 3, 2, 1; 12]
[10, 9, 8, 3, 3, 2, 1; 17]
[10, 9, 8, 3, 3, 3, 1; 18]
[10, 9, 8, 3, 3, 3, 2; 19]
[10, 8, 3, 3, 3, 2, 1; 10]
[11, 8, 3, 3, 3, 2, 1; 11]
[11, 10, 3, 3, 3, 2, 1; 13]
[11, 10, 8, 3, 3, 2, 1; 18]
[11, 10, 8, 3, 3, 3, 1; 19]
[11, 10, 8, 3, 3, 3, 2; 20]
[6, 6, 2, 2, 2, 1, 1; 7]
